gene,length
B7Z2C7,1261
O15061,1565
O15060,712
O15067,1338
O15066,747
P10643,843
Q9H6R3,686
Q8NAP8,495
Q96PZ0,661
Q5T6X2,457
Q8NAP3,1195
Q9HC62,589
P07098,408
P07099,455
Q5T6X5,926
P29083,439
P40429,203
Q7Z3T9,931
A1A5B2,365
Q8NGH5,318
Q06609,340
E9PGR4,529
P16520,340
Q68CU0,296
E9PGR1,543
Q9Y297,605
Q9Y294,204
B4DY57,321
Q12834,499
Q6ZRP7,698
B1ALU8,613
F1T0I5,207
A8K4S9,847
E9PHR7,1549
E9PHR3,327
P30281,292
B7ZAX4,512
Q15937,498
B7ZAX7,947
F5H1P4,408
F5H1P5,133
P49792,3224
B0I1T2,1018
B0I1T6,2157
Q92913,261
O00391,747
B7Z8U5,560
P78357,1384
B4DWI3,831
B4DWI4,390
B4DWI7,584
Q9Y2T5,361
Q9Y2T4,447
O60814,126
B4DG79,481
Q9Y2T1,843
Q9Y2T3,454
P03891,350
B2RPL9,406
O60548,495
B5B2P3,925
Q8IU60,420
P55287,796
Q8N8Y2,350
F8VSG3,484
Q92664,365
Q6GZ68,357
Q9P0L0,249
Q9P0L1,754
A4D0R5,317
O00399,190
F1D8S4,468
Q9P0L9,805
F1D8S6,455
F1D8S7,441
F1D8S0,480
F1D8S2,504
F1D8S3,614
P35251,1148
P35250,354
Q08170,494
O75426,618
Q92730,232
Q92731,530
B7Z932,818
Q92734,400
Q92736,4967
P43026,501
P23109,780
E7ES17,1037
O60603,784
O60602,858
Q5BKT4,473
P17693,343
O00507,2555
P17927,2489
O00501,303
B4E1R2,405
Q99613,913
Q16484,3685
P01009,418
P01008,464
B3KTV4,457
Q01581,520
Q8N2R0,312
Q8NGN6,311
Q14088,237
Q13003,919
Q13002,980
Q8NGN2,331
B4DPL9,826
D7RIH8,296
Q8NGN1,323
Q13009,1591
O75390,466
O75396,215
Q5JWV7,142
E2QC23,445
Q99075,208
Q8TE60,1221
E9PC13,357
Q5JPB8,757
Q96R69,305
Q59FK4,1130
Q96R67,309
Q5U0K8,215
Q59FK0,533
Q8N451,331
Q59FK2,445
Q9NP60,686
Q96AF9,581
Q32P51,320
Q8WVD3,245
P46019,1235
P98073,1019
Q9NPG1,666
O94979,1251
P42772,138
P04040,527
P42771,173
O94972,964
O94973,939
Q9BSD8,437
B7Z7W1,1034
P30154,603
Q9UPF9,943
Q8TC04,422
P28838,519
Q05CU4,503
P62633,179
Q9UI09,145
Q96JL9,665
Q8WV16,495
B3KST3,510
Q9UKR2,248
P24903,491
Q5M8T4,349
Q53SA1,360
A2RUS0,450
A6NFR2,425
P47900,373
A8K2G2,681
A4FUP2,426
E9PDS0,546
B7ZLN9,781
P19447,782
Q16518,533
Q8WUV3,548
Q96LZ3,170
Q16514,161
Q16515,563
Q59E93,967
Q16512,942
Q16513,984
Q14002,265
B2RCP4,449
Q14004,1512
B4DS86,574
Q9Y4K0,774
Q8TDX7,302
Q5VVM0,311
P19224,532
B4DYX8,537
Q9HA79,533
Q6Y288,498
Q8NCW6,608
Q9HA77,564
E9PGM2,466
A8K3Z3,406
A8K3Z6,91
O14936,926
A8K3Z8,233
O43323,396
O14933,153
O14931,201
P04839,570
Q9NY33,757
Q96RB7,305
Q6MZP3,1231
Q6TGC4,686
Q8IZJ0,200
Q8IZJ1,945
E9KL30,277
Q7Z7F8,680
Q9NPB9,350
Q6MZL6,1172
Q9UHC3,531
E9KL38,390
A1A4E9,458
P56937,341
B4DQ60,296
Q8NH18,312
Q9Y2K9,1186
Q9BY21,358
Q9Y2K6,914
Q9UMS4,504
P37088,728
Q9Y2K1,713
Q9Y2K3,1946
F1D8P9,473
Q0P513,457
Q9UHY7,261
B4E0U4,756
O14681,340
O14682,589
O14684,152
O14686,5537
Q6QHC5,323
B0AZR7,395
Q8NH19,301
B3KUI5,435
B3KWH4,2028
Q9UNE0,480
Q00975,2340
Q6FHJ7,346
Q00973,533
Q6FHJ6,129
Q86SZ7,254
Q00978,393
Q9BYM8,510
Q5SRT3,241
P22888,699
A8K0H7,980
Q9UFZ4,1689
A8K9T9,1338
P50895,628
P50897,335
B3KT33,1710
P49895,249
Q5K3P6,927
Q5K3P7,927
Q63HM1,303
P35241,604
O95755,333
O95754,770
O95757,870
O95750,216
Q06730,817
Q5VU66,284
P62277,151
Q9H9T3,547
Q8NHV7,420
Q6YP21,454
P23975,628
B7Z4I4,1011
Q6TDP4,642
A8K761,172
P05013,189
Q9C0J9,482
P05014,189
P05015,189
B4E3M7,512
C9JFM0,2315
Q9C0J1,378
P05019,195
P01920,269
B3KVI7,423
O00268,1085
B2R812,640
P33947,212
P08861,270
Q9H2K0,278
Q7Z3Z4,852
Q7Z3Z0,450
Q7Z3Z3,882
Q9H2K8,898
Q9H9E2,538
B4DE43,448
D6W583,690
B4DK61,660
P80075,109
P56556,154
Q9NP58,842
Q92819,552
B4E362,253
Q9BQR3,290
B4E361,480
O95342,1321
O95340,618
O95347,1197
Q9UJ98,1225
Q9UJ99,828
Q9UJ96,466
Q6PK81,442
Q6PK82,1153
Q8IWV8,1755
Q96AS2,546
Q9UJ90,142
P10451,314
B4DDP7,666
P60174,286
P43234,329
P43235,329
B4DDP9,445
Q49AG1,185
Q9NQH7,507
P29460,328
Q12981,228
Q8WU20,508
Q53G59,606
P38398,1885
P29466,404
Q12988,150
Q9Y600,582
Q9Y603,341
Q93100,1093
P28482,360
Q8N6M6,819
Q8N6M5,410
P28336,390
C6SUN5,132
P28335,458
P28332,368
Q92831,832
P28330,430
A8MUK1,530
Q9UIB8,345
P62829,140
Q1WWM3,864
P62820,205
P17936,291
Q5U5Y7,201
Q5JB47,546
Q5K4E3,855
P62826,233
Q92835,1189
P51857,326
P21453,450
Q9Y478,270
O43913,435
P02747,245
P07510,517
O43916,411
F5GWT4,2880
O43918,545
Q9BZE2,481
P02748,559
Q969K4,478
Q8NDN9,531
Q99880,126
P01215,116
Q6R739,403
Q9UKX3,1938
Q6GTM5,299
Q9UKX7,468
Q96QS3,562
Q9BQ39,737
P43490,491
B3KPI0,801
B7Z3N1,578
F8W819,361
F8W816,494
B6EC88,80
Q8TD23,568
B4DZN0,498
Q8NFS9,402
P35626,688
Q9Y6E0,443
A8K4L6,521
A8K4L9,392
O43933,1283
Q9UHD9,624
Q96I25,401
P57727,538
Q9UHD0,215
Q86TB3,2170
B7Z8H0,861
Q7Z5G6,452
Q5QP37,903
Q6IS24,598
P08195,631
P23378,1020
A2A2F7,577
Q53Y90,372
P17482,250
P17483,251
P17480,764
P17481,243
E9PBR5,780
E9PBR7,882
Q8TD20,617
Q6UX15,382
Q7L3H5,686
Q96HC9,655
Q9Y6A5,838
Q13214,749
Q13216,396
Q13011,328
Q9H239,520
Q9H237,461
Q8N6I9,354
O75185,975
Q13219,1627
Q71DI3,136
Q99685,313
Q99684,422
Q9NPF7,189
P11229,460
P14618,531
P14616,1297
P11226,248
Q9BWW7,348
P63010,949
A8K1K0,608
Q659G9,399
Q6T775,261
Q8N158,579
Q6UW60,755
P40145,1251
Q96BR1,496
Q96BR6,464
Q99437,261
Q15744,281
Q15746,1914
Q96BR9,441
Q15743,365
Q86X76,327
Q6IAV3,113
P23769,480
Q6DSU6,976
O95500,239
O95503,412
P23760,505
O15439,1325
P23763,143
Q9H974,415
A5JUZ3,165
Q9H0N5,130
Q99538,433
C9J2F8,162
Q99536,525
E9PCL5,916
Q9BQE3,519
Q96PE1,1338
Q9Y4G8,1499
P11086,282
Q5SYN6,557
Q0D2K2,578
P41091,472
Q8N3W6,548
Q59FV5,1586
Q53TK1,543
B4DV20,752
B4DV22,377
Q9Y6A1,747
Q0EAF5,847
Q9UJT0,475
Q9UPF8,943
Q8IXE1,308
F1T0G5,340
Q9NRD9,1551
Q9NS68,423
P05111,366
Q9NYZ4,499
B4DKD8,478
Q9NX14,153
F2YGU2,615
Q9NS67,375
Q9NS66,373
A4Z6T7,864
Q9NS64,109
Q6I9R7,633
Q9BXA7,367
Q7Z7F5,323
Q9BXA6,273
Q03431,593
Q57Z92,194
Q14839,1912
Q86WL3,538
Q14831,924
Q14833,912
Q14832,879
O14744,637
O14746,1132
Q96I24,572
P22415,310
P16442,375
P16444,411
P22413,925
P15259,253
P50406,440
O00303,372
Q16099,956
P50402,254
B8ZZ69,263
P58182,307
Q96T37,977
P58180,307
P43268,484
Q6NZ59,119
F5H3T1,1560
P10599,105
B1ALW3,355
Q547D0,1907
B4DHB4,436
B4DY74,671
B4DY77,410
Q96PE7,176
E9PHP9,892
P52803,228
F1T0K5,290
F1T0K6,1907
Q9Y3Q4,1203
E9PHP7,888
P55291,814
P55290,713
Q504Z1,1591
Q96C00,473
Q13106,437
B7ZAV5,895
Q658X5,675
Q96PE6,472
Q8N159,534
B4DZ86,610
Q01974,943
Q9P2S2,1712
Q3T906,1256
Q6P5R6,122
O60832,514
Q5JYR6,631
Q7Z3B4,507
Q9Y2V3,346
Q13956,83
B7Z4A2,537
A6NDV8,129
Q9NVG1,919
Q6NXU8,500
A4D0T8,370
Q9P0J0,273
Q9P0J1,537
P29144,1262
Q96CD2,204
Q9UDY2,1221
B4DNT4,225
Q8IY73,355
O75400,957
Q7LDG7,662
P20151,261
B4E1T7,457
A8K932,790
Q6IQ37,1278
F5GYX9,485
P01024,1663
P01023,1474
F5GYX3,666
P17900,193
B3KTH8,443
Q567P6,1941
Q7Z3B1,354
Q9BZL6,888
Q5SVQ8,909
Q9Y3C5,154
Q8NGL0,311
Q8NGL1,313
Q13029,1718
Q8NGL3,314
Q8NGL4,314
Q8NGL6,344
Q8NGL7,312
Q8NGL9,310
Q8TCE9,168
Q6IPU0,288
Q8TE49,926
Q689E2,333
A8K8M6,399
Q96R48,311
B4E2U9,1038
Q9BUN8,251
P18283,190
B7ZMJ7,3177
Q96R45,310
B4E2U5,514
Q92752,1358
Q92753,470
Q92750,867
B7Z917,1011
Q86U10,595
P43005,524
P43004,574
Q92759,462
Q6VUC0,442
Q9H2P9,297
Q02447,781
Q02446,784
Q86SP6,731
Q8TC21,504
B4DII3,860
Q9NPI5,235
Q9NPI6,582
Q9NPI1,651
E7EN22,1449
Q9Y3C6,166
Q05DF5,1118
Q53FS9,276
Q86YT6,1006
Q96JJ7,454
A6NMI8,482
A8MXL7,622
P04179,222
Q7Z6J0,888
Q05397,1096
Q05823,741
Q14246,886
Q14247,634
Q14244,771
Q14242,412
Q6UWQ5,148
Q14240,407
B4DIA3,729
P24928,1970
B4DIA5,742
E9PDQ9,619
P19429,210
Q8IWX5,399
Q53SC2,180
Q8N6P7,574
B7ZLH2,406
Q68CS0,439
O43699,453
P15735,406
P07858,339
Q53XR6,467
Q7RTN6,431
Q85L09,459
Q96LT9,517
P58215,753
O94955,611
Q9Y4T0,463
O94952,628
O94953,1130
Q14790,479
Q14061,98
B4DS61,655
P16298,525
P43681,627
Q68E01,1043
Q695T7,634
Q8NFD5,2236
Q8N680,514
Q9GZR5,314
Q16790,459
P15088,421
Q16795,377
A8K3X3,356
P15085,419
P15086,417
P62280,158
Q9UFM0,653
Q7Z7D3,285
P25786,263
P25787,234
P25788,255
B3KP69,721
Q1M182,147
B7Z5K4,740
P81133,766
Q8IZH9,250
B4DQ01,523
O60229,2985
Q9NR20,545
B4DQ07,758
B4E0K6,1264
Q9Y6E7,314
Q6IAE6,103
Q9UQ84,846
Q9H1D0,725
Q75T13,922
A8MRS1,1336
B1AKJ5,1219
Q96MR9,790
Q9BZL0,452
P67936,248
P60033,274
Q9UNG2,199
Q7Z2V8,657
Q5VX50,385
Q4G160,848
E9PG36,464
Q9H1D9,316
Q9BUT1,245
B4DYZ0,1782
P63220,97
E9PG30,376
P11142,646
Q86SX1,732
A1L3X0,281
P45378,270
Q86SX6,157
Q16134,617
A6NJW1,385
Q8NH92,325
Q8TBB1,728
A8K0N0,86
Q5SU54,269
P80404,500
Q9H9H4,285
Q96GK1,398
Q5XJ04,520
Q6ZN06,617
P50876,292
P24278,435
F5H412,583
F5H411,803
B7Z4K2,130
P78310,365
O95777,96
Q13564,537
Q7Z599,198
Q13562,356
Q13563,968
P55160,1127
P47804,473
Q9BY07,1142
Q5VW29,570
Q6J9G0,422
Q9BWJ5,86
Q86Y34,549
Q8NE62,594
P78314,618
P43629,455
Q9BYU1,374
Q9HCR9,933
A8K031,642
Q9P2W9,335
P34972,360
Q7Z3X3,584
B3KVG8,720
O00203,1094
B3KVG6,831
O00204,365
B3KVG3,831
O00206,839
P08887,468
Q6ZS74,228
Q9P2W3,67
A9YTQ3,701
Q9NV06,445
P49721,201
B4DN15,469
B4DE61,403
Q9H210,308
Q6H2G7,304
Q8N9I9,347
Q5FC01,153
Q5FC00,313
Q5FC04,918
Q7Z330,620
P19474,475
O95365,584
Q96AQ3,351
O95361,564
O95363,451
Q6ZVN8,426
Q9Y625,555
Q6U8A4,1102
Q9Y623,1939
Q16627,93
Q08708,224
O15294,1046
P24311,80
O15296,676
O15297,605
C7E542,261
P15313,513
Q12968,1075
Q12965,1108
Q5T0I2,782
Q12967,985
Q12962,218
P62841,145
Q9P255,531
P62847,289
Q01628,133
Q01629,164
Q01151,205
P09228,141
Q06455,615
B0ZBF6,988
Q2UVF1,1675
B0ZBF5,988
Q96BI1,424
Q8NI77,898
A2RRB4,1549
B4DJE0,480
B4DJE9,654
Q8TAW3,534
P00505,430
Q9Y6Y9,160
A8K6C4,587
Q13233,1512
Q1JUL4,317
F8VYL7,366
A8K6P0,789
O95944,276
Q9UKV8,859
O95947,436
P01270,115
D3DRA3,241
Q9UKV3,1341
Q9UKV0,1011
O60383,454
P35354,604
P46199,727
Q9Y6J6,123
Q9UES7,1615
Q8TCS8,783
P35609,894
A8K2F5,334
P42566,896
B7Z5T8,772
O76083,593
B5TYJ1,2512
Q8NFU1,509
F1DAL1,486
Q6P1M3,1020
Q8NFU5,416
A6MW55,645
A6MW56,645
P39060,1754
O60884,412
Q5QGS2,3359
B1AP59,537
Q9BVG3,475
Q53T26,418
B3KR15,766
B3KR14,777
B3SXS6,411
Q9C083,154
Q92569,507
Q12899,539
Q59HG1,1232
Q9H4T2,348
Q92560,1491
Q05707,1796
P52566,201
E9PBL7,721
P52564,334
P52565,204
P42695,1498
Q6IBA0,106
Q9HAT8,420
Q53FZ2,586
Q6IBA9,281
Q546E0,575
Q92935,676
Q8IXA8,319
Q8N823,705
Q6PJD3,2468
Q53RY1,342
Q53Y76,133
D3DP09,771
Q53Y73,289
P20366,129
P10915,354
B3KQS8,488
Q59HG9,1530
Q9Y6N5,450
Q5VZP5,1158
Q8WU79,1235
Q9BRL4,601
Q96HE7,468
Q15761,445
B2R761,1530
P08311,255
Q9H251,3359
Q9H253,3674
Q9H252,994
B2R769,960
Q9H254,3674
Q9H257,536
P08319,380
Q8N9Z0,462
Q8TDQ7,276
E9PE04,1580
Q7Z6R9,452
Q8TED4,501
P14635,433
P07992,323
P07996,1170
P07998,156
O43597,353
O43592,962
P40121,1015
P40126,552
F5H886,1221
Q6NTA2,589
Q86X52,802
Q7Z449,544
Q86X54,949
Q86X55,608
Q71F23,418
Q86X58,2570
Q86WZ6,799
Q9BQC8,821
Q13043,487
Q9NYI0,1048
Q99558,947
Q6IEY1,312
Q2QL34,196
Q5JNW4,219
Q59FP8,1461
Q96RQ9,589
Q58EZ4,617
Q76N89,1606
Q96RQ3,725
A6NM95,1073
Q96RQ0,256
Q59FP5,2137
Q9C029,511
Q53G01,410
Q8IXG2,730
B4DV49,164
O95528,541
P40879,764
P40692,756
P33778,126
Q8TF71,515
B4DI13,756
B4DI11,426
P21964,271
Q02161,493
G0LNU0,773
Q9UEW3,520
G0LNU9,773
A8K7W0,520
Q96BT3,561
Q8NFF5,587
P07333,972
P07332,822
B4DKB0,358
P07339,412
Q2TNB2,425
B4E2I6,423
Q05DF6,841
B3KSM5,295
Q8N3C7,707
Q05DF2,481
P61769,122
Q6FH89,181
Q5TGA3,314
P10600,412
Q9BRC7,794
Q14814,525
Q86WJ6,890
P10606,129
B4DVI5,509
Q4W5M7,798
Q86SF2,657
Q9NZI7,540
Q9NZI6,479
Q9NZI5,618
Q9NVM4,692
Q9UEW8,545
A6NNF7,802
P62070,210
Q9Y2R4,599
Q9UBG0,1479
Q8N2E5,365
O14764,452
O14763,440
P50461,194
P48147,710
P55103,352
Q96L12,384
Q96L15,291
F8WB28,692
P55107,478
Q9UJV9,622
Q5S007,2527
Q9BT78,438
P48145,328
Q92793,2472
B1AN63,279
Q9BQG2,462
Q06643,244
Q9NXL9,1143
Q5T4V2,81
P80098,109
E9PAN9,431
Q969Q5,203
F5H1T2,947
E9PB21,255
Q504X9,3041
Q96C28,371
B7ZAT2,535
P34925,604
Q96C23,342
Q9P2R7,463
Q07812,192
B2RPH5,211
Q6ISS4,152
P51159,221
P55201,1214
Q71RF8,403
P51153,244
P35030,304
Q71RF1,240
P51157,221
Q9BTU6,479
Q96FT4,491
O60858,407
Q6IAX6,624
Q6IAX1,417
Q6IAX2,160
A8K2Y9,483
Q8N568,766
F6TTL5,187
Q9Y2P5,690
Q9Y2P4,619
Q9Y2P7,627
Q7Z4G9,311
Q9UMX0,589
Q04864,619
Q9UMX6,200
P17735,454
Q3MJ62,389
D6RDL9,395
Q13795,201
Q13794,136
A4D0V9,630
P18848,351
Q29RX4,864
Q6FGL7,134
A4D0V1,360
P18847,181
P18846,271
A4D0V4,286
Q6IQ50,2471
P02462,1669
Q00722,1185
P02461,1466
Q6S5L8,630
P78406,437
B4DNV1,761
F5GYZ3,471
P17655,700
Q9NRF8,586
P05204,90
A8K268,193
P14384,443
A8KAF9,309
P17658,529
Q9UM54,1294
O00548,723
P01042,644
B3KTJ4,371
Q8TDS4,363
Q6PJ69,517
Q15024,291
Q15027,740
Q15021,1401
F5H7J5,1335
Q6PJ61,603
Q15022,739
Q6FG91,117
Q9Y2H9,1570
Q6FG93,116
Q05BM8,559
Q86V81,264
Q9UP38,647
Q6FG96,115
B3KRR2,746
O15178,435
Q6H2H0,348
P09693,182
Q6IPS9,462
B4DLD9,740
Q8NGJ8,323
Q8NGJ9,327
Q8NGJ2,320
Q9BXN1,384
Q8NGJ0,315
Q8NGJ1,314
A8K8S9,1353
Q8NGJ7,313
Q8NGJ4,325
Q8NGJ5,315
Q9P1Z3,774
Q96L53,390
P14866,589
Q8NEB1,1104
Q96R28,347
Q96LD4,638
A8MY67,603
Q9UIW0,290
P62987,128
P34741,201
A8MY68,284
Q6AI28,2273
B4DFQ7,507
Q8IY57,180
Q9H2R5,256
B4DFQ3,638
Q9UNE7,303
A4ZI32,881
Q9BVG9,487
Q9BVG8,848
Q92772,493
Q9UHF4,553
P32745,418
Q99962,352
Q99963,347
Q99788,373
Q99965,735
Q99968,2363
C6ZRK5,619
C6ZRK0,619
C6ZRK1,619
C6ZRK2,619
Q9UI42,421
Q9UI43,246
Q9UI46,699
Q9UI47,895
Q6NT32,604
Q53ZR5,398
P22234,425
Q01459,385
Q53ZR3,293
Q9BUZ4,470
P04150,778
Q96S52,555
P26439,372
E5KR07,655
E5KR06,655
E5KR05,655
Q05CQ2,312
Q6PCD5,774
E5KR08,655
Q6PCD2,506
B2R6C3,504
Q8IYH3,578
Q9H1B5,865
Q8N4B4,442
O75688,479
P40306,273
P0C5Z0,115
Q9H081,205
Q7Z6D0,719
A6NFN4,537
P27348,245
B4DIC9,758
P19404,252
Q5TLG3,359
Q12765,434
Q8N589,136
P02808,62
Q6NUM9,610
A6NN98,643
Q59H88,1455
B3KXN9,270
Q59H81,592
B7ZLJ4,214
Q9H3T3,888
Q9H3T2,930
A3KLL5,303
Q8WY64,445
Q6ZWK6,438
B3KMZ7,660
Q8TE57,1224
E5KPN1,424
E5KPN0,424
Q9NPK3,1246
P54687,398
B7Z7S9,1265
B2RCT6,636
Q6Q0C0,670
A8K3F7,199
O14976,1311
A8K3F0,587
O14974,1030
O43364,376
O14978,683
O14979,420
Q6N084,2387
Q6N087,485
Q6N083,1004
D0EI67,91
Q9GZP7,353
P09848,1927
Q9GZP0,370
Q7Z7B1,504
P49448,558
O75027,752
Q05513,592
O75023,622
O75022,648
P49441,399
Q05519,484
Q96FI4,390
Q8TD57,4116
Q9HCU4,2923
Q9HCU5,417
P11387,765
Q99496,336
B7Z5I9,586
Q8IWZ4,208
B7Z5I7,502
P11388,1612
Q9HCU8,368
B7Z5I2,224
P43246,934
Q86TM7,122
A6ND77,518
Q3SY52,487
Q96NY7,704
Q3SY56,376
B3KUM5,781
Q9UNA0,930
Q9UNA4,740
Q5MJ33,634
P61371,349
F5H6M3,597
P59544,299
Q5VSF5,943
Q5VSF4,943
P59540,309
P59543,309
P59542,299
Q13409,638
Q7Z2X1,1197
P05787,511
Q9HAK2,575
P05783,430
P11169,496
P11168,524
E9PG18,2016
P11166,492
Q5TB52,618
O75333,385
P11161,476
Q1PHJ8,775
P61204,210
Q96N78,228
Q8NGX8,325
A5PKZ1,940
P61513,92
Q96GE5,643
Q96FE8,661
Q8NHR9,129
P31323,418
O95715,111
O95714,4834
Q13546,671
O95716,219
Q9NY93,547
F5GZH6,1380
Q9NY97,397
P47869,511
Q9BWL6,584
O00222,908
O00221,500
O00220,468
Q92952,543
B3KVE1,646
Q9UBC0,465
Q9UBC1,381
Q9UBC3,853
P55318,350
Q9UBC5,1043
P50148,359
Q9NVM6,304
Q13620,913
Q96N77,438
Q96BM9,186
Q9NR82,951
Q9P0T0,425
Q9NQ66,1216
P33908,653
B4DN30,495
Q5VUT3,215
Q6ZS12,1135
Q9BVX3,781
Q9ULR0,285
Q8NDQ6,660
B1AHB0,734
P18433,813
Q05C41,957
Q02086,613
Q12955,4377
Q59GC5,195
P10415,239
P14207,255
P10412,219
O15062,677
P48556,350
P29317,976
Q12946,379
P10646,304
P35998,433
Q9H3S3,457
Q9BV57,179
P60893,370
Q86UE3,836
Q08722,323
P48551,515
A8K016,297
A8K7J7,952
B4E3I7,1037
P60891,318
B4E3I5,763
A8K7J9,841
Q92956,283
P48066,632
Q96CY8,160
B3KXS2,381
Q96CY4,839
Q9UIF7,549
Q9P275,1121
P51813,675
B7Z2Z4,570
B2RC71,361
P0C7M7,580
P51815,510
P51814,821
B0ZBD0,145
B0ZBD3,572
Q6UXI9,609
A0JLT9,1304
A0PJF8,772
Q9Y314,301
Q8TAF7,563
Q9BZY9,425
B4DJG8,213
B4DJG6,580
A0PJF5,488
Q96PN6,1610
F5GWX8,467
B4E324,480
Q9NZM6,624
Q5R349,830
P07942,1810
O14493,209
O14492,671
O14495,311
O14494,285
O14497,2285
Q9UKT8,454
B7Z897,1164
P09067,269
Q9UK73,627
B7Z890,947
O95926,243
Q9UKT5,387
Q9UKT6,434
P16422,342
P0C869,781
P35372,400
Q8WYH8,240
O19617,403
Q8WYH5,1018
Q86TI2,892
Q9BRL5,149
Q8NFW8,434
B4DZJ2,326
B7Z3B7,838
Q4VBQ6,249
A8K4H7,517
Q562F6,1265
P01160,153
Q01968,901
Q9NRR2,321
Q9NRR6,644
Q9NRR4,1374
Q9NRR5,601
Q8TE54,656
E5KLB6,1119
E5KLB5,1119
Q59EZ1,1472
P39086,949
P32971,234
P32970,208
A4FU14,310
P43630,455
Q92542,709
P43632,304
Q7Z5C0,4655
Q7Z5C1,4655
B3KR76,761
Q6FIH7,136
Q6ZU25,1148
P0C1S8,567
Q546G3,638
Q546G0,364
Q8IUZ5,450
Q05940,514
B7Z8L5,446
Q92854,870
P20340,208
P05412,331
P05413,133
Q53Y51,166
E9PBN9,347
Q6IBC4,172
Q9HAV7,217
Q9HAV5,297
C9JJE2,639
Q59GP3,358
Q96SB4,655
P01258,141
C6ES44,360
Q6A163,491
Q6A162,431
Q14457,450
Q9UPF3,464
Q6IBG4,399
P14652,356
E9PRA0,581
P14651,431
